Target ID,Highest Period,Highest Power
99673488,6.930148647618249 d,0.23453470692007616
99673513,2.39112804604517 d,0.05701497207143687
316271332,8.806376810816367 d,0.038926766436628055
147112823,9.129140633885733 d,0.02290278060028681
231692694,7.93167524796192 d,0.06680012713607571
14976740,7.65124821446061 d,0.0029439377850310425
125580300,6.715277995862246 d,0.05971753715525664
163802843,9.88814445021747 d,3.012016963290417
2018724911,9.242801263614771 d,80.89501366809058
321547580,3.6787977406533865 d,4.9306529746320855
302299317,9.253203955702533 d,0.0014983126120177
315136775,9.657303643970742 d,0.11483614240033897
231668155,9.877027941543568 d,0.004196239763108306
314771701,1.2052975792618472 d,0.0005871155669696434
79353860,9.201307313624495 d,0.04472079218264987
376362649,9.016877712317015 d,0.07360145472263062
159746320,8.093908312483116 d,0.09125556577824755
1976379547,1.4724847513848642 d,0.6147064196522632
323009972,1.9288371161304612 d,0.02925710810233355
410414842,4.379519634872198 d,0.15826192469248462
1981843319,1.6367097360785061 d,0.13392746159687988
387327138,6.220777250763815 d,0.005954777975487395
388079618,8.121267951746258 d,0.20273687807445623
403995834,1.7968788960080624 d,0.0010726049269639678
259773610,2.36704304306036 d,0.0022285318366552682
289934729,9.843753344143478 d,0.0700456992472266
292831588,5.615511878795394 d,0.13010237925305757
126022532,9.668172854866981 d,0.4374110752328191
376020501,2.5351628506569153 d,18.071362115170054
136513972,1.2299505200127774 d,0.8235027063396071
115108925,7.565664756905502 d,0.016357497559051238
283903463,3.4194174610439134 d,0.31781057980947586
248908169,4.622484115621225 d,0.1046464312550759
115042302,1.6701867037952465 d,0.12345707692436668
79056222,6.806537373771002 d,0.010548046512410167
115013365,8.315392534636146 d,0.23380967464375582
428831740,3.404066580604346 d,0.02804198215415465
456724995,6.9535744586996975 d,0.13890401910384084
258470866,1.4511090440206358 d,0.054621411753420356
459719950,4.474127475120171 d,0.03896190543870699
248861930,4.306244464620969 d,0.027635372965972727
79020922,3.737190085976788 d,0.013013127044644097
126660367,1.8711367141212694 d,0.08092167328323722
289467229,6.737977484962606 d,0.054302969208035824
289340949,8.55255252142526 d,0.24263096424471292
428404202,7.281777768240097 d,1.9267056960629112
354495184,6.227778681222025 d,0.08783698235069509
29477026,7.4810385978201035 d,0.14026036297811795
345265261,1.2536966829313323 d,0.18439378970701953
419411618,8.796476453403917 d,0.9776450286147097
248735093,1.7411663046707107 d,0.06721757353067186
248730637,3.430976033814001 d,0.06805260371604979
283063053,7.347601242029074 d,15.303014423956833
29257211,5.040706963624809 d,0.027423863118573755
356613625,7.2981781468366425 d,0.3002176399687937
152250936,9.242801263614771 d,0.29088831097428847
51820346,5.103465327280478 d,0.07517344834803599
1989330796,1.766814729614692 d,19.802969315845615
353096380,5.314371137829077 d,0.2279274359360149
372172502,7.2654142443780785 d,0.09431757108275805
194061710,8.185467307069027 d,0.15005447343436534
232951587,9.657303643970742 d,6.0768890146020125
340999692,9.453094746156443 d,0.13616447060472864
366740395,5.472092060821467 d,0.5798858373694737
1959621869,1.4675241156986958 d,0.6513549600646164
66488952,1.9072620025238889 d,0.36621913725740923
282072868,6.783606914108306 d,0.7470733634056292
341162644,1.3099199257013698 d,0.2478493801987444
372109346,8.362292495196034 d,0.0014130975145437812
66140007,2.2807884364479856 d,0.15539953669662507
1990832724,5.81478235107713 d,0.00601894159484844
340803443,3.6010075768979397 d,0.2625308395305999
248136622,8.268755612746787 d,0.06190085716560552
291061781,9.378953274968332 d,0.01377753135608498
441357923,7.063946256675266 d,0.007571076577558972
351558953,9.368409212231564 d,0.10247585213089679
100603346,8.707872598839767 d,0.00783679376149843
456645161,2.9876502192124885 d,0.06780057176651011
456663229,5.374487766218058 d,0.14402681732101477
212289921,4.116782185891153 d,0.047923865616806775
314174614,9.33684809418459 d,0.1375014973441408
212254842,9.09838558479615 d,0.04770870981310173
417131337,8.966306507193067 d,0.053168545629301664
16200170,6.945757069787762 d,0.0033824493322281474
158571010,6.419825222139556 d,0.05719395283572179
277235925,8.58146250443117 d,0.29713484907287535
467224218,5.980623434323524 d,0.7239513541982739
199179022,8.659034450487418 d,0.5219904545554371
264027491,2.7030338848398574 d,0.16162053694473472
404643334,9.899273470424783 d,0.3954815108858288
428969253,8.334120871326357 d,0.1082652898425762
425819601,2.3300587870856972 d,0.04849135578122423
157145180,7.54866328559974 d,0.01740507216324994
402959206,6.814198072131133 d,0.7410151794749136
318020620,2.7091217909091707 d,0.103000331416397
166548685,1.7236281407424319 d,0.10934556624874368
34515703,9.744600632908476 d,0.004722627457244691
314167396,7.063946256675266 d,0.7853743120358595
1968420005,1.0626250959316317 d,0.27780394318004165
