ID,tic_id,r_s,e_r_s,r_p,a,P_days,inc,period,duration,vshape,median,mean,max_depth,oot_variability,snr
000015,17970505,6785269.509690851,61887.47823172772,2.4574180673032266,8532953950.528893,6.135604445815446,90,6.137371514360854,0.01 d,nan,0.3110459827753729,0.33840283521327197,0.4807120999156691,0.036048782732777694,9.385837404213563
000015,17970505,6785269.509690851,61887.47823172772,2.4574180673032266,8532953950.528893,6.135604445815446,90,9.201307313624495,0.01 d,1.6363636363636365,nan,nan,nan,0.045644572354471474,nan
000015,17970505,6785269.509690851,61887.47823172772,2.4574180673032266,8532953950.528893,6.135604445815446,90,2.0450248199254277,0.01 d,1.8181818181818181,nan,nan,nan,0.022942786162155875,nan
000015,17970505,6785269.509690851,61887.47823172772,2.4574180673032266,8532953950.528893,6.135604445815446,90,3.0694052081894516,0.01 d,2.0,nan,nan,nan,0.026881750800699915,nan
000016,337246237,6808373.407685007,33381.934926229515,0.8979667731744656,941537884.7076807,0.22374356483196187,90,1.119056408129678,0.012 d,2.0,0.07034884982510525,0.07034884982510525,0.07440659030473262,0.020774111265894447,3.364661664989248
000016,337246237,6808373.407685007,33381.934926229515,0.8979667731744656,941537884.7076807,0.22374356483196187,90,1.8131217442077456,0.012 d,1.8571428571428572,nan,nan,nan,0.02522733394873764,nan
000016,337246237,6808373.407685007,33381.934926229515,0.8979667731744656,941537884.7076807,0.22374356483196187,90,5.16700505201053,0.012 d,2.0,nan,nan,nan,0.04244585445409271,nan
000016,337246237,6808373.407685007,33381.934926229515,0.8979667731744656,941537884.7076807,0.22374356483196187,90,3.6253935177013767,0.012 d,1.9285714285714286,nan,nan,nan,0.03640805942114698,nan
000017,275293861,6098479.404545761,76233.22685483632,2.6362874976573694,4293958215.047658,2.570474400043941,90,2.569615241874508,0.01 d,1.6363636363636365,0.1736102668172843,0.1876230788433888,0.3873669694374947,0.02407925296709568,7.794156430559224
000017,275293861,6098479.404545761,76233.22685483632,2.6362874976573694,4293958215.047658,2.570474400043941,90,8.996615092624065,0.01 d,1.9090909090909092,0.29463505003836943,0.3191163262800919,0.5211070775985718,0.04851557697827575,6.5777509980336415
000017,275293861,6098479.404545761,76233.22685483632,2.6362874976573694,4293958215.047658,2.570474400043941,90,1.2851088430930657,0.01 d,1.6363636363636365,0.1843506290209569,0.18162368358045888,0.25159608637867403,0.017919194217582226,10.137319586926255
000017,275293861,6098479.404545761,76233.22685483632,2.6362874976573694,4293958215.047658,2.570474400043941,90,5.143808680790083,0.01 d,1.8181818181818181,0.1242024404587142,0.1242024404587142,0.12506704032421112,0.034592921424143094,3.590864709684549
000018,229554602,6610326.34630567,69913.52159293814,0.7454142553997376,1393477386.2677336,0.4210895278394822,90,7.8694664065547855,0.046 d,1.9259259259259258,0.09011718586963768,0.09055100931979188,0.09747062325477596,0.027238233196447737,3.3126593711793726
000018,229554602,6610326.34630567,69913.52159293814,0.7454142553997376,1393477386.2677336,0.4210895278394822,90,2.947592979320594,0.046 d,1.9259259259259258,nan,nan,nan,0.01832598094868003,nan
